Name	City	Country	IATA	ICAO	Elev	
Syamsudin Noor Airport	Banjarmasin	Indonesia	BDJ	WAOO	8	Asia/Makassar
Batu Licin Airport	Batu Licin	Indonesia	BTW	WAOC	8	Asia/Makassar
Iskandar Airport	Pangkalan Bun	Indonesia	PKN	WAOI	7	Asia/Jakarta
Tjilik Riwut Airport	Palangkaraya	Indonesia	PKY	WAOP	7	Asia/Jakarta
Maumere(Wai Oti) Airport	Maumere	Indonesia	MOF	WATC	8	Asia/Makassar
Ende (H Hasan Aroeboesman) Airport	Ende	Indonesia	ENE	WATE	8	Asia/Makassar
Frans Sales Lega Airport	Ruteng	Indonesia	RTG	WATG	8	Asia/Makassar
El Tari Airport	Kupang	Indonesia	KOE	WATT	8	Asia/Makassar
Komodo Airport	Labuhan Bajo	Indonesia	LBJ	WATO	8	Asia/Makassar
Sultan Aji Muhamad Sulaiman Airport	Balikpapan	Indonesia	BPN	WALL	8	Asia/Makassar
Juwata Airport	Taraken	Indonesia	TRK	WALR	8	Asia/Makassar
Temindung Airport	Samarinda	Indonesia	SRI	WALS	8	Asia/Makassar
Tanjung Santan Airport	Tanjung Santan	Indonesia	TSX	WALT	8	Asia/Makassar
Selaparang Airport	Mataram	Indonesia	AMI	WADA	8	Asia/Makassar
Muhammad Salahuddin Airport	Bima	Indonesia	BMU	WADB	8	Asia/Makassar
Umbu Mehang Kunda Airport	Waingapu	Indonesia	WGP	WADW	8	Asia/Makassar
Juanda International Airport	Surabaya	Indonesia	SUB	WARR	7	Asia/Jakarta
Adi Sumarmo Wiryokusumo Airport	Solo City	Indonesia	SOC	WARQ	7	Asia/Jakarta
Incheon International Airport	Seoul	South Korea	ICN	RKSI	9	Asia/Seoul
Chiang Mai International Airport	Chiang Mai	Thailand	CNX	VTCC	7	Asia/Bangkok
Chiang Rai International Airport	Chiang Rai	Thailand	CEI	VTCT	7	Asia/Bangkok
Nakhon Si Thammarat Airport	Nakhon Si Thammarat	Thailand	NST	VTSF	7	Asia/Bangkok
Nakhon Ratchasima Airport	Nakhon Ratchasima	Thailand	NAK	VTUQ	7	Asia/Bangkok
Nakhon Phanom Airport	Nakhon Phanom	Thailand	KOP	VTUW	7	Asia/Bangkok
Ubon Ratchathani Airport	Ubon Ratchathani	Thailand	UBP	VTUU	7	Asia/Bangkok
Khon Kaen Airport	Khon Kaen	Thailand	KKC	VTUK	7	Asia/Bangkok
Sukhothai Airport	Sukhothai	Thailand	THS	VTPO	7	Asia/Bangkok
Ngurah Rai (Bali) International Airport	Denpasar	Indonesia	DPS	WADD	8	Asia/Makassar
Eleftherios Venizelos International Airport	Athens	Greece	ATH	LGAV	2	Europe/Athens
Chubu Centrair International Airport	Nagoya	Japan	NGO	RJGG	9	Asia/Tokyo
Kobe Airport	Kobe	Japan	UKB	RJBE	9	Asia/Tokyo
Pullman Moscow Regional Airport	Pullman	United States	PUW	KPUW	-8	America/Los_Angeles
Lewiston Nez Perce County Airport	Lewiston	United States	LWS	KLWS	-8	America/Los_Angeles
Elmira Corning Regional Airport	Elmira	United States	ELM	KELM	-5	America/New_York
Ithaca Tompkins Regional Airport	Ithaca	United States	ITH	KITH	-5	America/New_York
Monterey Peninsula Airport	Monterey	United States	MRY	KMRY	-8	America/Los_Angeles
Santa Barbara Municipal Airport	Santa Barbara	United States	SBA	KSBA	-8	America/Los_Angeles
Daytona Beach International Airport	Daytona Beach	United States	DAB	KDAB	-5	America/New_York
Liep_ja International Airport	Liepaja	Latvia	LPX	EVLA	2	Europe/Riga
